account_id,personaname,rank_tier,total_games,label_source,flagged_at,notes
202904162,윤아,71,665,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
422920259,76561198383185987,72,431,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
885981676,Xdd,64,545,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
155305029,(WDDWM)bombalapapap,65,650,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
252396843,Alacrity,75,462,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
207742403,mode: узбек,61,416,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
427952348,异世相遇！,65,517,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
164055715,Uncle Epstein,71,30,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,"Genuine non-zero lifetime game count observed via public API — stronger weak label than the zero-games bucket, though still unconfirmed (Source 1 heuristic only, no expert/community verification)."
